Model,Water Body Type,Watershed Size,Watershed Type,Water Body Characteristics,Water Body Size,Dimensions,Simulation Type,Parameters,Time Step,Model Complexity,Simulation Objectives,Data Requirements,Model Availability,Model Limitations
RGWLF,Watershed,"Medium, Large",Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Daily,Medium,"Holistic Simulation, TMDL development","DEM, LULC, Precipitation, Temperature",Open source,"poor groundwater simulation,  can not be coupled with optimization algorithm, limited applications in urban watersheds"
APEX,Watershed,Small,"Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Complex,"Holistic Simulation, BMP Evaluations","LULC, Soil, Precipitation, Temperature",Open source,"field scale model, poor groundwater simulation, does not simulate large watersheds, manual calibration, can not be coupled with optimization algorithm, sensitive to specific input parameters"
"SWAPP (""Comprehensive Environmental Optimization Tool SWAT–APEX Interface"" model)",Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Complex,"Holistic Simulation, BMP Evaluations, Agricultural Management, Climate Change Studies, Land use changes assessment","DEM, LULC, Soil, Precipitation, Temperature",Open source,"Integration Complexity, Ignores BMPs' effectiveness, Dependent on Input Data, model uncertainties"
"SWAT 

",Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Complex,"Holistic Simulation, TMDL development, Watershed management, BMP locations","DEM, LULC, Soil, Precipitation, Temperature, Wind, Solar radiation, Relative humidity",Open source,"poor groundwater simulation, poor sediment simulation, sensitive to parameter calibration"
HSPF,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN ","Sub-daily, Daily",Complex,"Holistic Simulation, Watershed management, TMDL development, BMP locations","DEM, LULC, Soil, Precipitation, Temperature",Open source,"Does not Simulate physical characteristics of BMPs,  manual calibration,  not user friendly, sensitive to specific input parameters"
SWMM,Watershed,,,,,,"Event-based model, Continuous model","Q, TP, TN, TSS",Sub-daily,Complex,"Drainage system Design, TMDL development, BMP Evaluations, Low impact development stormwater Assessment, Assess sewer overflows, Land use changes assessment","DEM, LULC, Soil, Precipitation, Temperature","Open source
(https://www.epa.gov/water-research/storm-water-management-model-swmm)","Fundamental problem in coupling the SWMM and GA with continuous simulation. Urban land uses, it does not simulate small outlets (manhole or inlets) loss directly, but rather can be aggregated, limited to urban watersheds"
PCSWMM,Watershed,,,,,,"Event-based model, Continuous model","Q, TP, TN, TSS",Sub-daily,Complex,"Holistic Simulation, Designing and Sizing Drainage Systems, Floodplain Mapping, BMP Evaluations","DEM, LULC, Soil, Precipitation, Temperature",Not open source,"Unless the mathematical concepts representing the surface and soil layer are made more representative of reality as well as made to be dynamic, the LID component for modeling bioretention cells in PCSWMM could not be sufficiently verified, SWMM is limited to urban watersheds"
WAM,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Complex,"Holistic Simulation, BMP locations","DEM, LULC, Soil, Precipitation, Temperature",Open source,"manual calibration, poor groundwater simulation, poor sediment simulation, can not be coupled with optimization algorithm, Limited to Florida terrain"
Gridded Surface/Subsurface Hydrologic Analysis (GSSHA) model ,Small Watershed,,,,,,Continuous model,"Q. TP, TN, TSS",Sub-daily,Complex,"Holistic Simulation, TMDL development, BMP Evaluations, Extreme events evaluation","DEM, LULC, Soil, Precipitation, Temperature","Although the GSSHA model executable can be downloaded for free (GSSHA 2019), a WMS software license must be purchased to use GSSHA in WMS.","Several of required parameters and the unavailability of most of these parameters, a solution grid with a cell size of bigger than 200 m in GSSHA model can lead to signifcant errors in the results, As the time step is further increased, the discharge at the outlet will oscillate and the model may crash, GSSHA does not allow for irregular pipe cross sections, and theoption for rectangular cross sections was not functional, GSSHA storm sewer pipes and stream channels are not fullylinked; flow can only travel from the pipes into the channels, GSSHA does not support autocalibration of the storm sewerparameters with its implementation of the PEST parameter estimation and uncertainty analysis software package"
Water Erosion Prediction Project-Water Quality (WEPP-WQ) model,Watershed,Small,Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Daily,Complex,"Holistic Simulation, BMP Evaluations","DEM, LULC, Soil, Precipitation, Temperature",Open source,poor nitrate simulation
CE-QUAL-W2,Water body,,,"Reservoirs, Lakes, Estuaries","Small, Medium",2D,,"Water Levels, Phosphorus, Nitrogen, algae, Chla, DO, TDS ","Seconds, minutes, hours",Complex,"Holistic Simulation, Support reservoir management decisions, Predict the effects of natural and anthropogenic changes on water quality, TMDL development, Climate Change Studies","Bathymetric data, Solar radiation, temperature, wind speed, relative humidity, precipitation, Inflows, outflows, nutrient concentrations, dissolved oxygen, algae, sediment characteristics","Open source
(www.ce.pdx.edu/w2)","Simulate specific species for phytoplankton, Well-mixed in lateral direction, requires high computational resources, hydrostatic assumption for vertical momentum equation, algal processes are oversimplifed, does not incorporate Zooplankton, does not incorporate SOD, Model Expertise"
SimplyP,Watershed,,,,,,Continuous model,"Q, TP, TSS",Daily,Simple,Holistic Simulation,"LULC, Soil, Precipitation, Temperature, PET",Open source,"manual calibration, The Python version is slow, and the model has recently been recoded into C plus plus using the MOBIUS model building framework, Incidental P losses, potentially large P fluxes washed into watercourses when rainfall events coincide with fresh fertilizer and manure applications, are not yet included"
Delft3D FM,Water body,,,"Coastal, Estuarine, Rivers, Lakes","Small, Medium, Large",3D,,"Water Levels, Phosphorus, Nitrogen, algae, Chla, DO, TDS, Salinity, wave parameters, ","Seconds, minutes, hours",Complex,"Holistic Simulation, sustainable water resource management, flood risk assessment, Support navigation, evaluate ecological restoration projects, modeling of complex domains, Climate Change Studies, ","Bathymetric data, Solar radiation, temperature, wind speed, relative humidity, precipitation, Inflows, outflows, nutrient concentrations, dissolved oxygen, algae, sediment characteristics",Open Source,"GUI is not open source, requires high computational resources, Model Expertise, Limitations in Biological Processes, extensive datasets, "
CBP-WSM (Chesapeake Bay Program Watershed Model),Watershed,,,,,,Continuous model,"Q, TP, TN, TSS",Daily,Complex,"Holistic Simulation, TMDL development, BMP Evaluations ","LULC, Soil, Precipitation, Temperature",Not open source,"Spatial limitations of the WSM preclude edge of field scale representation of phosphorus (P) losses, Loads modeled by scenarios with MP effects are always lower than the alternative scenario because the CBPWSM assigns a load reduction credit to each MP, CBPWSM does not model lag times, limited to the Chesapeake Bay Watershed"
CAST,Watershed,,,,,,Continuous model,"Q, TP, TN, TSS",Daily,Complex,"Holistic Simulation, TMDL development, BMP Evaluations ","LULC, Soil, Precipitation, Temperature","The Chesapeake Bay Program's Phase 6 Watershed Model, CAST, and its documentation can be accessed, free of charge, in a web browser:
+https://cast.chesapeakebay.net/","The CAST documentation contains many details on the computation and rationalization of inputs however, it does not provide the entirety of the numerical formulation of CAST in equation form, Such a description provided as one or a set of equations detailing the load function, how the inputs and watershed processes are modeled to estimate load delivered to the Ba is indispensable for formulating an efficient optimization model, Nevertheless, the structure of calculations in CAST presents several challenges for creating an integrated, allencompassing optimization system, The decision variables are also nonseparable, the decision space is high dimensional, Although good solutions were consistently found to instances of this nonlinear model, IPOPT does not guarantee global optimality and so additional computational advantage may be gained through further study of the models mathematical characteristics and exploration of effective approximations"
L-THIA,Watershed,,,,,,Continuous model,"Q, TP, TN",Annual,Simple,Screening Simulation,"LULC, Soil, Precipitation",Open source,"assumes that future climate conditions and land use changes will follow historical patterns, LTHIALID does not account for the potential impact of extreme storms, Annual Outputs, Urban and suburban land uses only, event mean concentration (EMC) is the critical parameter to simulate NPS loads"
Distributed Hydrology Soil and Vegetation Model (DHSVM-N),Watershed,,,,,,Continuous model,"Q, TN",Daily,Complex,Holistic Simulation,"DEM, LULC, Soil, Precipitation, Temperature",Open source,"limitations in capturing preferential flow path in soil layers that contribute to subsurface streamflow (Melo et al., 2021). does not represent urban land use. Simulates Nitrogen Only"
Model to Assess River Inputs of Nutrients to Seas (MARINA) model,Watershed,,,,,,Continuous model,"Q, TP, TN",Annual,Simple,Nutrient load assessment,"water discharge, nutrient inputs from different sources, delineated subbasins",Not open source,"specifically for China, Does not simulate hydrology"
geomorphology-based nonpoint source pollution (GBNP),Watershed,,,,,,Continuous model,"Q, TP, TN, TSS",Daily,Medium,"Holistic Simulation, NPS nutrient loads evaluation","DEM, LULC, Soil, Precipitation, Temperature",Not open source,"does not simulate the strong biogeochemistry interaction between the atmosphere and the land surface , does not simulate fertilization of farmland, returning of manure, and air pollution around the city, uncertainty because it did not simulate the strong biogeochemistry interaction between the atmosphere and the land surface."
Info Works (ICM),Watershed,,,,,,Event-based model,"Q, TP, TN, TSS",Sub-daily,Complex,urban stormwater management,"DEM, LULC, hydraulic data, Precipitation, Temperature",Not open source,"Simulation results may differ in InfoWorks ICM due to different processing technologies, which may impact the numerically sensitive models, The water quality component in InfoWorks ICM is simplified, Only urban watersheds, small scale watersheds"
GPUOM-WQ,Water body,,,"Coastal, Estuarine, Rivers, Lakes","Medium, Large",3D,,"Water Levels, Phosphorus, Nitrogen, algae, Chla, DO, TDS, Salinity,  ","Seconds, minutes",Complex,"Holistic Simulation, Predict the effects of natural and anthropogenic changes on water quality, evaluate ecological restoration projects, Pollutant Transport, Coastal and Estuarine Hydrodynamics, Climate Change Studies,    ","Bathymetric data, Solar radiation, temperature, wind speed, relative humidity, precipitation, Inflows, outflows, nutrient concentrations, dissolved oxygen, algae, sediment characteristics",Not open source,"requires high computational resources, Model Expertise, extensive datasets, accuracy decreases with higher trophic levels, limited developer and community support, "
WEP-N (Water and Energy transfer Processes and  Nitrogen cycle Processes Model in Cold regions),Watershed,,,,,,Continuous model,"Q, TN",Daily,Complex,Evaluate nitrogen loads in cold regions,"DEM, LULC, Soil, Precipitation, Temperature",Not open source,"The WEP-N model is based on mechanisms and, hence, requires relatively more input parameters, Limited to cold regions."
DYRESM–CAEDYM,Water body,,,"Reservoirs, Lakes","Small, Medium",1D,,"Water Levels, Phosphorus, Nitrogen, algae, Chla, Salinity, ","Seconds, minutes, hours",Complex,"Holistic Simulation, Predict the effects of natural and anthropogenic changes on water quality, management of eutrophication and algal blooms, Optimizing reservoir releases to manage downstream temperature and water quality, Algal Bloom Predictions, Water Supply Management","Bathymetric data, Solar radiation, temperature, wind speed, relative humidity, precipitation, Inflows, outflows, nutrient concentrations, dissolved oxygen, algae, sediment characteristics",Not open source,"assumes horizontal homogeneity, extensive datasets, Simulate specific species for phytoplankton, requires high computational resources, Calibration Complexity, Simplified Biological Processes, not suitable for shallow systems, accuracy decreases with higher trophic levels,"
"Nutrient delivery ratio (NDR) model and Sediment Delivery Ratio (SDR), Water Yield (WY), Seasonal Water Yield Model (SWYM), InVEST",Watershed,,,,,,Continuous model,"Q, TN",Annual,Simple,Evaluate future scenarios on nitrogen,"DEM, LULC, Precipitation, Temperature","Open source
(https://naturalcapitalproject.stanford.edu/software/invest)","InVEST SDR computes soil loss only from sheet and rill erosion and thus, it did not consider other forms of erosion such as gully, stream bank and tunnel erosions, InVEST SDR demonstrated high potential for application in scenario studies and for prediction of suspended sediment export in large  catchments, but not total sediment load including bed load, There are errors associated with SWYM predictions, which include structural errors derived from the assumptions upon which the model works (e.g., flow routing and curve number methods), the suitability of selected parameters, and errors in the input data (climatic forcing variables), The processes of glaciers and permafrost are not considered by the InVEST model, The input data of the model are natural data and the socio-economic-related data are rarely considered"
PDP,Watershed,,,,,,Continuous model,"Q, TP",Daily,Simple,Estimate P exchange between Polder systems and surrounding rivers,"LULC, Precipitation, Temperature",Open Source,"model uncertainties, process simplification, Inadequate parameter optimization, simulates lowland watersheds "
NDP,Watershed,,,,,,Continuous model,"Q, TN",Daily,Simple,Estimate N exchange between Polder systems and surrounding rivers,"LULC, Precipitation, Temperature",Open Source,"model uncertainties, simulates lowland watersheds"
Watershed Analysis Risk Management Framework (WARMF),Watershed,,,,,,Continuous model,"Q, TP, TN, TSS",Daily,Complex,"Holistic Simulation, TMDL development, Watershed management","DEM, LULC, Soil, Precipitation, Temperature",Not open source,"WARMF does not account for a tile drainage system, deep groundwater aquifers, and groundwater quality"
INCA-C,Watershed,,,,,,Continuous model,"Q, Carbon",Daily,Medium,"Holistic Simulation, evaluate pollutant sources","LULC, Precipitation, Temperature",Not open source,"structural parameter and data uncertainty, semi-distributed model"
INCA-P,Watershed,,,,,,Continuous model,"Q, TP",Daily,Medium,"Holistic Simulation, evaluate P sources","LULC, Precipitation, Temperature",Not open source,"structural parameter and data uncertainty, semi-distributed model, does not simulate the small-scale transport of P across the land surface, the representation of the P soil processes does not account for soil type, microbe species, and the in-stream model does not include any mechanism to simulate macrophyte species competition, or cutting."
INCA-N,Watershed,,,,,,Continuous model,"Q, TN",Daily,Medium,"Holistic Simulation, evaluate N sources","LULC, Precipitation, Temperature",Not open source,"structural parameter and data uncertainty, semi-distributed model, the ability to simulate and predict a catchment’s behaviour exactly in response to environmental perturbations remains unlikely"
Finite-Volume Community Ocean Model (FVCOM),Water body,,,"Coastal, Estuarine, Oceans, Lakes","Medium, Large",3D,,"Water Levels, tidal and wave parameters, Sediment Transport, Phosphorus, Nitrogen, DO, salinity, Primary production and plankton dynamics,","Seconds, minutes",Complex,"Holistic Simulation, Coastal and Estuarine Hydrodynamics, Flood Risk Assessment, Wave-Current Interaction","Bathymetric data, Solar radiation, temperature, wind speed, relative humidity, precipitation, Inflows, outflows, nutrient concentrations, dissolved oxygen, sediment characteristics",Open Source,"requires high computational resources, extensive datasets, Model Expertise, non-commercial purposes only, struggles with small-scale local flows, inaccurate seasonal, decadal, and climate projections, "
SUSTAIN,Watershed,"Small, Medium",Urban,,,,Continuous model,"Q, TP, TN, TSS",Sub-daily,Complex,"Holistic Simulation, TMDL development, evaluate green infrastructure implementation, BMP cost estimation ","DEM, LULC, Soil, Precipitation, Temperature, Wind speed",Open source,"manual calibration, poor groundwater simulation, does not simulate large watersheds"
